xcoord,ycoord,HABITAT,Value
564282.1517,1492418.265,1,1
564282.1517,1491838.265,1,1
564282.1517,1491258.265,1,1
564282.1517,1490678.265,1,1
564862.1517,1519098.265,1,1
564862.1517,1518518.265,1,1
564862.1517,1517938.265,1,1
564862.1517,1517358.265,1,1
564862.1517,1516778.265,1,1
564862.1517,1516198.265,1,1
564862.1517,1515618.265,1,1
564862.1517,1515038.265,1,1
564862.1517,1513298.265,1,1
564862.1517,1512718.265,1,1
564862.1517,1512138.265,1,1
564862.1517,1511558.265,1,1
564862.1517,1510978.265,1,1
564862.1517,1510398.265,1,1
564862.1517,1509818.265,1,1
564862.1517,1509238.265,1,1
564862.1517,1508658.265,1,1
564862.1517,1508078.265,1,1
564862.1517,1507498.265,1,1
564862.1517,1506918.265,1,1
564862.1517,1506338.265,1,1
564862.1517,1505758.265,1,1
564862.1517,1505178.265,1,1
564862.1517,1504598.265,1,1
564862.1517,1504018.265,1,1
564862.1517,1503438.265,1,1
564862.1517,1502858.265,1,1
564862.1517,1502278.265,1,1
564862.1517,1501698.265,1,1
564862.1517,1501118.265,1,1
564862.1517,1500538.265,1,1
564862.1517,1499958.265,1,1
564862.1517,1499378.265,1,1
564862.1517,1498798.265,1,1
564862.1517,1498218.265,1,1
564862.1517,1497638.265,1,1
564862.1517,1497058.265,1,1
564862.1517,1495318.265,1,1
564862.1517,1494738.265,1,1
564862.1517,1494158.265,1,1
564862.1517,1493578.265,1,1
564862.1517,1492998.265,1,1
564862.1517,1492418.265,1,1
564862.1517,1491838.265,1,1
564862.1517,1491258.265,1,1
564862.1517,1490678.265,1,1
564862.1517,1490098.265,1,1
565442.1517,1521998.265,1,1
565442.1517,1521418.265,1,1
565442.1517,1520838.265,1,1
565442.1517,1520258.265,1,1
565442.1517,1519678.265,1,1
565442.1517,1519098.265,1,1
565442.1517,1518518.265,1,1
565442.1517,1517938.265,1,1
565442.1517,1517358.265,1,1
565442.1517,1516778.265,1,1
565442.1517,1516198.265,1,1
565442.1517,1515618.265,1,1
565442.1517,1515038.265,1,1
565442.1517,1514458.265,1,1
565442.1517,1513878.265,1,1
565442.1517,1513298.265,1,1
565442.1517,1512718.265,1,1
565442.1517,1512138.265,1,1
565442.1517,1511558.265,1,1
565442.1517,1510978.265,1,1
565442.1517,1510398.265,1,1
565442.1517,1509818.265,1,1
565442.1517,1509238.265,1,1
565442.1517,1508658.265,1,1
565442.1517,1508078.265,1,1
565442.1517,1507498.265,1,1
565442.1517,1506918.265,1,1
565442.1517,1506338.265,1,1
565442.1517,1505758.265,1,1
565442.1517,1505178.265,1,1
565442.1517,1504598.265,1,1
565442.1517,1504018.265,1,1
565442.1517,1503438.265,1,1
565442.1517,1502858.265,1,1
565442.1517,1502278.265,1,1
565442.1517,1501118.265,1,1
565442.1517,1500538.265,1,1
565442.1517,1499958.265,1,1
565442.1517,1499378.265,1,1
565442.1517,1498798.265,1,1
565442.1517,1495318.265,1,1
565442.1517,1494738.265,1,1
565442.1517,1494158.265,1,1
565442.1517,1493578.265,1,1
565442.1517,1492998.265,1,1
565442.1517,1492418.265,1,1
565442.1517,1491838.265,1,1
565442.1517,1491258.265,1,1
565442.1517,1490678.265,1,1
565442.1517,1490098.265,1,1
565442.1517,1489518.265,1,1
565442.1517,1488938.265,1,1
565442.1517,1488358.265,1,1
566022.1517,1521998.265,1,1
566022.1517,1521418.265,1,1
566022.1517,1520838.265,1,1
566022.1517,1520258.265,1,1
566022.1517,1519678.265,1,1
566022.1517,1519098.265,1,1
566022.1517,1518518.265,1,1
566022.1517,1517938.265,1,1
566022.1517,1517358.265,1,1
566022.1517,1516778.265,1,1
566022.1517,1516198.265,1,1
566022.1517,1515618.265,1,1
566022.1517,1515038.265,1,1
566022.1517,1514458.265,1,1
566022.1517,1513878.265,1,1
566022.1517,1513298.265,1,1
566022.1517,1512718.265,1,1
566022.1517,1512138.265,1,1
566022.1517,1511558.265,1,1
566022.1517,1510978.265,1,1
566022.1517,1510398.265,1,1
566022.1517,1509818.265,1,1
566022.1517,1509238.265,1,1
566022.1517,1508658.265,1,1
566022.1517,1508078.265,1,1
566022.1517,1507498.265,1,1
566022.1517,1506918.265,1,1
566022.1517,1506338.265,1,1
566022.1517,1505758.265,1,1
566022.1517,1505178.265,1,1
566022.1517,1504598.265,1,1
566022.1517,1504018.265,1,1
566022.1517,1503438.265,1,1
566022.1517,1502858.265,1,1
566022.1517,1502278.265,1,1
566022.1517,1501698.265,1,1
566022.1517,1501118.265,1,1
566022.1517,1500538.265,1,1
566022.1517,1499958.265,1,1
566022.1517,1499378.265,1,1
566022.1517,1495318.265,1,1
566022.1517,1494738.265,1,1
566022.1517,1494158.265,1,1
566022.1517,1493578.265,1,1
566022.1517,1492998.265,1,1
566022.1517,1492418.265,1,1
566022.1517,1491838.265,1,1
566022.1517,1491258.265,1,1
566022.1517,1490678.265,1,1
566022.1517,1490098.265,1,1
566022.1517,1489518.265,1,1
566022.1517,1488938.265,1,1
566022.1517,1488358.265,1,1
566022.1517,1487778.265,1,1
566602.1517,1522578.265,1,1
566602.1517,1521998.265,1,1
566602.1517,1521418.265,1,1
566602.1517,1520838.265,1,1
566602.1517,1520258.265,1,1
566602.1517,1519678.265,1,1
566602.1517,1519098.265,1,1
566602.1517,1518518.265,1,1
566602.1517,1517938.265,1,1
566602.1517,1516778.265,1,1
566602.1517,1516198.265,1,1
566602.1517,1515038.265,1,1
566602.1517,1514458.265,1,1
566602.1517,1513878.265,1,1
566602.1517,1513298.265,1,1
566602.1517,1512718.265,1,1
566602.1517,1512138.265,1,1
566602.1517,1511558.265,1,1
566602.1517,1510978.265,1,1
566602.1517,1510398.265,1,1
566602.1517,1509818.265,1,1
566602.1517,1509238.265,1,1
566602.1517,1508658.265,1,1
566602.1517,1508078.265,1,1
566602.1517,1507498.265,1,1
566602.1517,1506918.265,1,1
566602.1517,1506338.265,1,1
566602.1517,1505758.265,1,1
566602.1517,1505178.265,1,1
566602.1517,1504598.265,1,1
566602.1517,1504018.265,1,1
566602.1517,1503438.265,1,1
566602.1517,1502858.265,1,1
566602.1517,1502278.265,1,1
566602.1517,1501698.265,1,1
566602.1517,1501118.265,1,1
566602.1517,1500538.265,1,1
566602.1517,1499958.265,1,1
566602.1517,1499378.265,1,1
566602.1517,1496478.265,1,1
566602.1517,1495898.265,1,1
566602.1517,1495318.265,1,1
566602.1517,1494738.265,1,1
566602.1517,1494158.265,1,1
566602.1517,1493578.265,1,1
566602.1517,1492998.265,1,1
566602.1517,1492418.265,1,1
566602.1517,1491838.265,1,1
566602.1517,1491258.265,1,1
566602.1517,1490678.265,1,1
566602.1517,1490098.265,1,1
566602.1517,1489518.265,1,1
566602.1517,1488938.265,1,1
566602.1517,1488358.265,1,1
566602.1517,1487778.265,1,1
567182.1517,1521418.265,1,1
567182.1517,1520838.265,1,1
567182.1517,1520258.265,1,1
567182.1517,1519678.265,1,1
567182.1517,1519098.265,1,1
567182.1517,1518518.265,1,1
567182.1517,1513878.265,1,1
567182.1517,1513298.265,1,1
567182.1517,1512718.265,1,1
567182.1517,1512138.265,1,1
567182.1517,1511558.265,1,1
567182.1517,1510978.265,1,1
567182.1517,1510398.265,1,1
567182.1517,1509818.265,1,1
567182.1517,1509238.265,1,1
567182.1517,1508658.265,1,1
567182.1517,1508078.265,1,1
567182.1517,1507498.265,1,1
567182.1517,1506918.265,1,1
567182.1517,1506338.265,1,1
567182.1517,1505758.265,1,1
567182.1517,1505178.265,1,1
567182.1517,1504598.265,1,1
567182.1517,1504018.265,1,1
567182.1517,1503438.265,1,1
567182.1517,1502858.265,1,1
567182.1517,1502278.265,1,1
567182.1517,1501698.265,1,1
567182.1517,1501118.265,1,1
567182.1517,1500538.265,1,1
567182.1517,1499958.265,1,1
567182.1517,1497058.265,1,1
567182.1517,1496478.265,1,1
567182.1517,1495898.265,1,1
567182.1517,1495318.265,1,1
567182.1517,1494738.265,1,1
567182.1517,1494158.265,1,1
567182.1517,1493578.265,1,1
567182.1517,1492998.265,1,1
567182.1517,1492418.265,1,1
567182.1517,1491838.265,1,1
567182.1517,1491258.265,1,1
567182.1517,1490678.265,1,1
567182.1517,1490098.265,1,1
567182.1517,1489518.265,1,1
567182.1517,1488938.265,1,1
567182.1517,1488358.265,1,1
567182.1517,1487778.265,1,1
567182.1517,1487198.265,1,1
567182.1517,1486618.265,1,1
567182.1517,1486038.265,1,1
567762.1517,1520838.265,1,1
567762.1517,1520258.265,1,1
567762.1517,1519678.265,1,1
567762.1517,1519098.265,1,1
567762.1517,1518518.265,1,1
567762.1517,1513878.265,1,1
567762.1517,1513298.265,1,1
567762.1517,1512718.265,1,1
567762.1517,1512138.265,1,1
567762.1517,1511558.265,1,1
567762.1517,1510978.265,1,1
567762.1517,1510398.265,1,1
567762.1517,1509818.265,1,1
567762.1517,1509238.265,1,1
567762.1517,1508658.265,1,1
567762.1517,1508078.265,1,1
567762.1517,1507498.265,1,1
567762.1517,1506918.265,1,1
567762.1517,1506338.265,1,1
567762.1517,1505758.265,1,1
567762.1517,1505178.265,1,1
567762.1517,1504598.265,1,1
567762.1517,1504018.265,1,1
567762.1517,1503438.265,1,1
567762.1517,1502858.265,1,1
567762.1517,1502278.265,1,1
567762.1517,1501698.265,1,1
567762.1517,1501118.265,1,1
567762.1517,1497058.265,1,1
567762.1517,1496478.265,1,1
567762.1517,1495898.265,1,1
567762.1517,1495318.265,1,1
567762.1517,1494738.265,1,1
567762.1517,1494158.265,1,1
567762.1517,1493578.265,1,1
567762.1517,1492998.265,1,1
567762.1517,1492418.265,1,1
567762.1517,1491838.265,1,1
567762.1517,1491258.265,1,1
567762.1517,1490678.265,1,1
567762.1517,1490098.265,1,1
567762.1517,1489518.265,1,1
567762.1517,1488938.265,1,1
567762.1517,1488358.265,1,1
567762.1517,1487778.265,1,1
567762.1517,1487198.265,1,1
567762.1517,1486618.265,1,1
567762.1517,1486038.265,1,1
567762.1517,1485458.265,1,1
567762.1517,1484878.265,1,1
568342.1517,1520258.265,1,1
568342.1517,1519678.265,1,1
568342.1517,1519098.265,1,1
568342.1517,1513298.265,1,1
568342.1517,1512718.265,1,1
568342.1517,1512138.265,1,1
568342.1517,1511558.265,1,1
568342.1517,1510978.265,1,1
568342.1517,1510398.265,1,1
568342.1517,1509818.265,1,1
568342.1517,1509238.265,1,1
568342.1517,1508658.265,1,1
568342.1517,1508078.265,1,1
568342.1517,1507498.265,1,1
568342.1517,1506918.265,1,1
568342.1517,1506338.265,1,1
568342.1517,1505758.265,1,1
568342.1517,1505178.265,1,1
568342.1517,1504598.265,1,1
568342.1517,1504018.265,1,1
568342.1517,1503438.265,1,1
568342.1517,1502858.265,1,1
568342.1517,1502278.265,1,1
568342.1517,1501698.265,1,1
568342.1517,1501118.265,1,1
568342.1517,1497058.265,1,1
568342.1517,1496478.265,1,1
568342.1517,1495898.265,1,1
568342.1517,1495318.265,1,1
568342.1517,1494738.265,1,1
568342.1517,1494158.265,1,1
568342.1517,1493578.265,1,1
568342.1517,1492998.265,1,1
568342.1517,1492418.265,1,1
568342.1517,1491838.265,1,1
568342.1517,1491258.265,1,1
568342.1517,1490678.265,1,1
568342.1517,1490098.265,1,1
568342.1517,1489518.265,1,1
568342.1517,1488938.265,1,1
568342.1517,1488358.265,1,1
568342.1517,1487778.265,1,1
568342.1517,1487198.265,1,1
568342.1517,1486618.265,1,1
568342.1517,1486038.265,1,1
568342.1517,1485458.265,1,1
568342.1517,1484878.265,1,1
568922.1517,1513298.265,1,1
568922.1517,1512718.265,1,1
568922.1517,1512138.265,1,1
568922.1517,1511558.265,1,1
568922.1517,1510978.265,1,1
568922.1517,1510398.265,1,1
568922.1517,1509818.265,1,1
568922.1517,1509238.265,1,1
568922.1517,1508658.265,1,1
568922.1517,1508078.265,1,1
568922.1517,1507498.265,1,1
568922.1517,1506918.265,1,1
568922.1517,1506338.265,1,1
568922.1517,1505758.265,1,1
568922.1517,1505178.265,1,1
568922.1517,1504598.265,1,1
568922.1517,1504018.265,1,1
568922.1517,1503438.265,1,1
568922.1517,1502858.265,1,1
568922.1517,1502278.265,1,1
568922.1517,1501698.265,1,1
568922.1517,1501118.265,1,1
568922.1517,1500538.265,1,1
568922.1517,1497058.265,1,1
568922.1517,1496478.265,1,1
568922.1517,1495898.265,1,1
568922.1517,1495318.265,1,1
568922.1517,1494738.265,1,1
568922.1517,1494158.265,1,1
568922.1517,1493578.265,1,1
568922.1517,1492998.265,1,1
568922.1517,1492418.265,1,1
568922.1517,1491838.265,1,1
568922.1517,1491258.265,1,1
568922.1517,1490678.265,1,1
568922.1517,1490098.265,1,1
